samples,BC1,BC10,BC11,BC12,BC14,BC15,BC16,BC17,BC18,BC19,BC20,BC21,BC23,BC24,BC25,BC26,BC27,BC28,BC3,BC30,BC4,BC5,BC6,BC7,BC8,BC9
20,0,0,0,0,0,0,0,0,0,0,0,0.005047956,0,0,10.6557377,0,0,0,0,0,0,0,0,0,0,0
57,0.237920937,0.205846027,0.302811824,0.045263498,0.325054176,0.078864353,0.355735025,0.250237726,0.56542811,0.272405339,0.11645011,0.43412418,0.204151072,0.281392895,0.189155107,0.208401887,0.411080488,0.150476509,0.385255648,0.359629658,0.158780565,0.322407308,0.126536515,0.070060719,0.413329889,0.18734778
353,0,1.289968437,1.49963951,0,1.966994499,0,0,0.460437416,0,0.018160356,0,0,1.820347057,0.011724704,3.656998739,0,0,0.827620799,0.004756243,0,0,0.934981193,3.543022415,0,0,0
362,0,0,0,0,0,0,0,0,1.615508885,0,0.294189752,0,0,0.586235198,0,0,0,0.99481692,0,0,0,0,0,0,0,0
653,1.610541728,6.010703993,0.360490267,0,0.183363894,2.661671924,3.27853091,0,0,2.5969309,0,0.318021201,0,1.489037402,9.983186213,0.027421301,2.985004905,0,0,0,0.007939028,0.005373455,0.018076645,0.216020551,1.633944717,0
871,0,0,2.162941601,0.885871322,0,0,0,0,0.371567044,0,0.324834518,0,0,0.164145855,0,0,0,0,0,0.313719489,0,0,0,0,0,0
872,0,0,0,0,0,0,2.105566772,0,0,0,0.006128953,0.459363958,0,1.688357369,0,0,0,0,0,0,0,0,0,0,0.012916559,0
877,0,0.301907507,0.317231435,0.193986421,0.4084014,0,2.259398135,0,0.315024233,0,0.098063251,0.661282181,0,3.341540626,0,0,0,0,0,0,0,0,0,0.075899113,0.012916559,0
883,0,0,0,0,0,0,1.442169022,0,0,0,0,0.555275114,0,1.911126744,0,0,0,0,0,0,0,0,0,0,0.00645828,0
983,0.21351879,0.205846027,0,0.206918849,0,1.215825447,0.249975964,0,0,0.281485517,0.330963471,0,0,0.093797632,0,0.553910278,0,0.158836315,0.271105826,0.244854235,0,0.214938205,0.704989154,0.216020551,0.019374839,0.299756448
987,0.091508053,0,0,0.711283543,0,0,0,0.56553726,0,0,0.373866144,0,0.601111489,0,0,0,0,0.351111854,0,0,0.857415052,0.155830199,0,0.496263428,0,0.337226004
1040,0.122010737,0.247015233,0.259552992,0.045263498,0.266711119,0.085436383,0.249975964,0.150142636,0.250403877,0.145282848,0.085805344,0.242301868,0.141771578,0.234494079,0.126103405,0.159043545,0.261596674,0.183915733,0.290130797,0.321371184,0.079390283,0.247178936,0.090383225,0.040868753,0.361663653,0.162368076
1042,0.170815032,0.150953753,0.158615717,0.03233107,0.200033339,0.039432177,0.192289203,0.140133126,0.2180937,0.181603559,0.055160579,0.176678445,0.107746399,0.187595263,0.063051702,0.098716683,0.196197505,0.125397091,0.20451843,0.191292371,0.055573198,0.257925846,0.07230658,0.029191966,0.180831826,0.099918816
1104,0.006100537,0.027446137,4.643114636,1.17038474,2.300383397,0,0,0.030028527,0.096930533,1.552710433,0.919342976,2.564361434,0.056708631,3.095321843,0.021017234,0.00548426,0.009342738,0.016719612,0.485136742,0.390236437,3.048586853,0.026867276,0.090383225,0.005838393,0.025833118,0.043714482
1106,0.018301611,0,0,0.426770126,3.608934822,0,0,0.005004755,0,0.018160356,0,0.015143867,0,0.035174112,0,0.00548426,0.004671369,0,0.009512485,0.01530339,0,0,0.14461316,0.005838393,0,0.012489852
1107,0,0.027446137,1.28334535,0.472033624,0.725120853,0,0.01922892,0.005004755,0.056542811,0.426768365,0.25128708,0.78748107,0.005670863,0.867628092,0.021017234,0,0.004671369,0,0.099881094,0.137730507,0.96062242,0.005373455,0.018076645,0,0,0.018734778
1275,0.2318204,0.288184438,0.490266763,0.090526996,0.516752792,0.072292324,0.394192866,0.245232971,0.42003231,0.254244983,0.202255455,0.413932357,0.260859703,0.422089342,0.189155107,0.164527805,0.359695427,0.133756897,0.328180737,0.344326268,0.285805017,0.300913487,0.14461316,0.070060719,0.284164299,0.12489852
1276,0.170815032,0.343076712,0.519105984,0.129324281,0.575095849,0.098580442,0.442265167,0.225213953,0.484652666,0.435848543,0.159352783,0.454316002,0.260859703,0.539336382,0.294241278,0.224854667,0.462465549,0.300953018,0.494649227,0.436146606,0.277865989,0.333154218,0.14461316,0.093414292,0.40041333,0.237307188
1280,0.201317716,0.397968986,0.620043259,0.187520207,0.683447241,0.085436383,0.471108547,0.31029478,0.63812601,0.399527831,0.196126502,0.590610803,0.266530566,0.597959902,0.315258512,0.230338927,0.490493764,0.292593212,0.580261593,0.474405081,0.333439187,0.338527673,0.090383225,0.099252686,0.561870318,0.243552114
1429,0,0.343076712,0,0.006466214,0.44174029,0,1.759446207,0,0.185783522,0,0.006128953,0.459363958,0,2.215969047,0,0,0,0,0,0,0,0,0,0.087575899,0.025833118,0
1434,0,0,2.076423937,0.03233107,0,0,0.682626671,0,0,0,0.140965923,0,0,3.107046547,1.197982346,0,0.004671369,0.735662933,0.004756243,0,0,0,0.415762834,0,0.012916559,0
1653,0.201317716,0.411692054,0.605623648,0.077594568,0.625104184,0.092008412,0.336506105,0.295280516,0.468497577,0.399527831,0.177739642,0.504795558,0.232505387,0.56278579,0.231189575,0.191949106,0.443780072,0.300953018,0.504161712,0.443798301,0.261987933,0.392262225,0.198843095,0.075899113,0.387496771,0.21857241
1660,0.494143485,0.164676822,0,0.038797284,0.141690282,0,0,0.080076072,0,0.208844093,0.318705565,0.065623423,0,0.11724704,0,0.548426017,0.042042323,0.008359806,0.004756243,0.030606779,0,0.112842558,0.361532899,0.326950023,0.148540429,0.118653594
1665,0,0,0,0.077594568,0,0.788643533,0,0.115109354,0.016155089,0.054481068,0,0.600706714,0.011341726,0.11724704,0.504413619,0,0.242911197,0.526667781,0.299643282,0.658045757,0.095268339,0.064481462,0,0.180990191,0.342288814,0
1694,0.457540264,0.041169205,0,0.045263498,0.03333889,0,0,0.065061809,0,0.145282848,0.208384408,0.085815245,0,0.105522336,0.021017234,0.340024131,0.046713692,0,0,0.061213559,0,0.145083289,0.25307303,0.256889304,0.116249031,0.106163742
1705,0,0.013723068,0,0.019398642,0,0.249737119,0,0.045042791,0,0.009080178,0,0.166582534,0.022683452,0.046898816,0.336275746,0,0.05605643,0.284233406,0.156956005,0.283112709,0.04763417,0.021493821,0,0.087575899,0.161456988,0
1940,0,0,0,0.019398642,0,0.59148265,0,0.110104599,0,0.018160356,0,0.383644624,0.011341726,0.082072928,0.483396385,0,0.186854767,0.451429527,0.195005945,0.50501186,0.039695141,0.032240731,0,0.128444652,0.316455696,0
1945,0,0,0,0.051729712,0,0.571766562,0,0.130123617,0,0.018160356,0,0.358404846,0.011341726,0.105522336,0.672551492,0,0.140141075,0.426350109,0.195005945,0.543270334,0.079390283,0.059108006,0,0.180990191,0.355205373,0
2091,0.341630063,0.603815013,0.605623648,0.129324281,0.733455576,0.203732913,0.817229113,0.500475452,0.888529887,0.562971034,0.232900221,0.595658758,0.374276965,0.269668191,0.462379151,0.378413952,0.836175083,0.518307975,0.713436385,0.826383044,0.190536678,0.655561526,0.28922632,0.157636618,0.626453113,0.330981078
2094,0,0,0,0,0,0,0,0,0,0,0,0,0,6.800328292,0,0,0,0,1.170035672,0,0,0,0,0,0,0
2104,0.103709126,0.123507616,0.273972603,0,0.133355559,0.032860147,0.115373522,0.090085581,0.185783522,0.099881958,0.067418485,0.227158001,0.051037768,0.046898816,0.189155107,0.076779642,0.17284066,0.066878448,0.137931034,0.122427118,0.095268339,0.139709833,0.018076645,0.03503036,0.13562387,0.087428964
2361,0,0,0,0,0,0,0,0.005004755,0,0,0,2.569409389,0,0,0,0,0,0,0,0.933506772,1.32581772,0,0,0.005838393,0,0
2368,0,0,4.29704398,0.122858067,0,0,0,0,0,0,0.355479284,0,0,5.487161449,2.311895755,0,0,1.187092459,0,0,0,0,1.048445409,0,0,0
2378,0.707662274,0.137230685,0,0.03233107,0.166694449,0,0.00961446,0.065061809,0,0.263325161,0.453542535,0.111055023,0.005670863,0.222769375,0.021017234,0.581331578,0.079413276,0,0,0.084168643,0,0.182697474,0.596529284,0.397010743,0.200206665,0.15612315
2509,0.512445095,0.109784548,0.014419611,0.025864856,0.116686114,0,0.00961446,0.060057054,0,0.190683737,0.275802893,0.070671378,0,0.140696447,0,0.499067676,0.05605643,0,0,0.061213559,0,0.145083289,0.343456255,0.251050911,0.219581503,0.131143446
2720,0.183016105,0.123507616,0,0.161655351,0,1.012092534,0.134602442,0,0.008077544,0.272405339,0.171610689,0.005047956,0,0.152421151,0,0.290665789,0,0.167196121,0.218787158,0.168337287,0,0.161203654,0.451916124,0.105091079,0.038749677,0.199837632
2721,0.152513421,0.041169205,0,0.071128354,0,0.59148265,0.096144601,0,0,0.217924271,0.085805344,0,0,0.023449408,0,0.213886147,0,0.066878448,0.104637337,0.068865254,0,0.053734551,0.488069414,0.058383933,0.012916559,0.174857928
2759,0.286725232,0.219569096,0.014419611,0.239249919,0,1.353838065,0.355735025,0,0,0.472169255,0.373866144,0,0,0.105522336,0,0.405835253,0,0.158836315,0.31391201,0.206595761,0,0.171950564,0.596529284,0.204343765,0.064582795,0.324736152
2804,0.170815032,0,0,0.80181054,0,0,0,0.490465943,0,0,0.318705565,0,0.510377679,0,0,0,0.004671369,0.384551078,0,0,0.849476024,0.150456744,0,0.350303596,0,0.349715856
