samples,P1,P11,P12,P14,P15,P16,P18,P2,P22,P24,P26,P27,P29,P3,P30,P4,P5,P6,P9,
5624,2.681408057,6.72384896,6.550343249,7.688760047,5.437233776,0.075801749,5.595460422,6.307277628,5.943877551,8.691003513,0.03030303,15.30709519,3.120673128,0.874905359,5.474764756,4.066634003,0.116890707,5.805306743,1.877624475,
4721,0.02541619,0.019718032,0.543478261,4.111213599,2.455524931,8.268221574,2.42062922,0.723912206,2.729591837,0.007637086,3.080808081,0,1.618915752,2.893917725,0.0095048,0.024497795,6.165984804,1.115430117,2.201559688,
5020,0.038124285,0.029577048,0,0.006588483,0.008352126,1.224489796,7.082315759,0.58529072,0,7.698182374,0,0,0,7.234794313,0,4.507594317,0.204558738,0,3.293341332,
3669,0.012708095,2.740806468,3.747139588,0.01976545,0,0.005830904,0.007182876,4.53600308,1.454081633,0.007637086,1.909090909,0.027236824,3.34433912,0.008412552,5.161106359,8.035276825,0.029222677,2.450566165,1.535692861,
37,0,0,0,0,0,0,2.815687401,0,0,0,0,0,0,0,0,0,0,0,0,
5605,8.006099886,0.059154096,0,4.203452365,1.478326234,0.058309038,0.021548628,0.93954563,0.178571429,0.038185428,4.232323232,0.081710473,3.89817872,3.735172878,0.104552799,0.016331863,0.058445354,0.067601825,0.017996401,
15,0.012708095,0,0,0,0,0,1.077431404,0,0,0,0,0,0,0.008412552,0,0,0,0,2.531493701,
107,0,2.514049098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035992801,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.071887785,0,0,
4840,0.533739992,10.93364882,0.028604119,0.026353933,2.03791865,0.023323615,0.007182876,0.038505968,2.551020408,1.290667481,0.454545455,0.204276181,0,1.396483553,0.0190096,0.024497795,0.058445354,3.11813419,0.0119976,
2811,0,0,0,0,0,0,0.028731504,0,0,0,3.232323232,0,0,0,0,0,0,0,0,
2813,0,0,0,0.006588483,0,0,0,0,0.153061224,0,0.02020202,0,0,0,7.603839939,0,0,0.008450228,0,
4310,0.559156182,1.350685202,1.058352403,1.587824483,0.87697319,0.011661808,0.955322511,1.147477859,1.556122449,1.825263479,0.01010101,2.682827182,0.607093407,0.10936317,0.959984792,0.694104197,0.058445354,1.05627852,0.311937612,
2814,0,0,0,0,0,0,0,0,0,0,5.252525253,0,0,0,0,0,0,0,0,
5654,0.521031897,1.173222912,0.85812357,1.416523916,0.860268938,0.011661808,0.912225255,1.008856373,1.147959184,1.397586681,0,2.533024649,0.500585792,0.168251031,0.874441593,0.694104197,0.058445354,1.073178976,0.353929214,
747,0.482907612,1.035196687,0.85812357,1.3045197,0.801804059,0.023323615,0.933773883,1.047362341,1.530612245,1.32885291,0.02020202,2.464932589,0.5538396,0.10936317,0.883946393,0.743099788,0.029222677,0.929525097,0.233953209,
80,0,0,0,0,3.390963,0,0,0,0,0,0,0,0,0,0.912460793,0,0,0,0,
4313,0.495615707,1.1042098,1.086956522,1.238634866,0.793451934,0.029154519,0.869127999,1.147477859,0.943877551,1.519780052,0,2.001906578,0.649696453,0.143013376,0.921965593,0.66144047,0.029222677,0.921074869,0.281943611,
3177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.334133173,
68,3.088067099,0,0,0,0,0,0,0,0,0,0.696969697,0,0,0,0,0,0,0,0,
1009,0,0,0,0,0,0,0,0,0,0,0,0,5.549046757,0,0,0,0,0,0,
1228,0.432075232,0.966183575,0.829519451,1.073922783,0.810156185,0,0.675190346,0.931844436,1.37755102,1.313578738,0,2.029143402,0.394078177,0.117775721,0.807907994,0.677772334,0,0.828122359,0.25794841,
