Query seq,Query length (nt),Hit HOT,Hit HOMD seq name,HOMD clone name,Identities (%),Mismatch,Identities (no gaps & non-AGCTU)(%),Mismatch (no gaps & non-AGCTU),Score (bits),Query Start,Subject Start,Query End,Subject End
20,300,824,824_5951 ,Bacillus anthracis | HOT_824 | Strain_Delta Ames | GB_AF155951 | Named | G | 0,100,0/300,100,0/300,542,1,321,300,620
57,198,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/198,100,0/198,358,1,281,198,478
353,300,025,025AV011 ,Leptothrix sp. | HOT_025 | Clone_AV011a | GB_AF385528 | Phylotype | X | 0,94.7,16/301,95.3,14/299,464,1,307,300,606
362,300,571,571_7530 ,Burkholderia cepacia | HOT_571 | Strain_ATCC 25416 | GB_AF097530 | Named | G | 0,99.3,2/300,99.3,2/300,533,1,309,300,608
653,300,612,612_4476 ,Pseudomonas fluorescens | HOT_612 | Strain_ATCC 13525 | GB_NR_114476 | Named | G | 2,100,0/300,100,0/300,542,1,307,300,606
871,300,636,636_7774 ,Bosea vestrisii | HOT_636 | Strain_G8569 | GB_U87774 | Named | X | 1,99.3,2/300,99.3,2/300,533,1,281,300,580
872,300,636,636_7774 ,Bosea vestrisii | HOT_636 | Strain_G8569 | GB_U87774 | Named | X | 1,94.3,17/300,94.3,17/300,464,1,281,300,580
877,206,636,636_7774 ,Bosea vestrisii | HOT_636 | Strain_G8569 | GB_U87774 | Named | X | 1,99,2/206,99,2/206,363,1,281,206,486
883,227,636,636_7774 ,Bosea vestrisii | HOT_636 | Strain_G8569 | GB_U87774 | Named | X | 1,99.1,2/224,99.1,2/224,396,1,281,224,504
983,198,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/198,100,0/198,358,1,313,198,510
987,198,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91,18/199,91.9,16/197,271,1,314,198,511
1040,195,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/195,100,0/195,352,1,281,195,475
1042,191,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/191,100,0/191,345,1,281,191,471
1104,300,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,99.3,2/300,99.3,2/300,533,1,281,300,580
1106,300,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,98.7,4/300,98.7,4/300,524,1,281,300,580
1107,235,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,99.6,1/235,99.6,1/235,419,1,281,235,515
1275,184,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/184,100,0/184,333,1,281,184,464
1276,182,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/182,100,0/182,329,1,281,182,462
1280,183,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/183,100,0/183,331,1,281,183,463
1429,190,636,636_7774 ,Bosea vestrisii | HOT_636 | Strain_G8569 | GB_U87774 | Named | X | 1,98.9,2/190,98.9,2/190,334,1,281,190,470
1434,190,590,590_9422 ,Brevundimonas diminuta | HOT_590 | Strain_IFO 3140 | GB_D49422 | Named | G | 2,100,0/190,100,0/190,343,1,281,190,470
1653,173,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/173,100,0/173,313,1,281,173,453
1660,174,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.7,4/174,97.7,4/174,297,1,281,174,454
1665,171,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/171,100,0/171,309,1,311,171,481
1694,173,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.7,4/173,97.7,4/173,295,1,281,173,453
1705,173,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/173,100,0/173,313,1,311,173,483
1940,183,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/183,100,0/183,331,1,311,183,493
1945,187,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/187,100,0/187,338,1,311,187,497
2091,262,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/262,100,0/262,473,1,281,262,542
2094,300,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.3,8/300,97.3,8/300,506,1,281,300,580
2104,249,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/249,100,0/249,450,1,281,249,529
2361,300,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,94.3,17/300,94.3,17/300,464,1,281,300,580
2368,300,590,590_9422 ,Brevundimonas diminuta | HOT_590 | Strain_IFO 3140 | GB_D49422 | Named | G | 2,97.3,8/300,97.3,8/300,506,1,281,300,580
2378,227,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.4,6/227,97.4,6/227,383,1,281,227,507
2509,182,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.3,5/182,97.3,5/182,306,1,281,182,462
2720,289,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/289,100,0/289,522,1,313,289,601
2721,290,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/290,100,0/290,524,1,313,290,602
2759,229,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/229,100,0/229,414,1,313,229,541
2804,290,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.4,25/291,92,23/289,405,1,313,290,602
2807,295,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.2,26/296,91.8,24/294,410,1,314,295,608
2845,234,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.9,19/235,92.7,17/233,331,1,314,234,547
2848,233,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.9,19/234,92.7,17/232,329,1,314,233,546
2889,257,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.7,21/253,92.4,19/251,354,1,314,252,565
2926,254,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/254,100,0/254,459,1,313,254,566
3009,191,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/191,100,0/191,345,1,313,191,503
3011,193,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/193,100,0/193,349,1,313,193,505
3012,194,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/194,100,0/194,351,1,313,194,506
3043,191,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,90.6,18/192,91.6,16/190,259,1,314,191,504
3048,194,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,90.8,18/195,91.7,16/193,264,1,314,194,507
3106,245,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/245,100,0/245,443,1,311,245,555
3139,221,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/221,100,0/221,399,1,311,221,531
3141,218,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/218,100,0/218,394,1,311,218,528
3142,222,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/222,100,0/222,401,1,311,222,532
3172,202,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/202,100,0/202,365,1,311,202,512
3235,190,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/190,100,0/190,343,1,281,190,470
3236,189,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/189,100,0/189,342,1,281,189,469
3286,197,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/197,100,0/197,356,1,281,197,477
3287,196,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/196,100,0/196,354,1,281,196,476
3306,192,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/192,100,0/192,347,1,281,192,472
3307,194,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/194,100,0/194,351,1,281,194,474
3308,193,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/193,100,0/193,349,1,281,193,473
3339,243,827,827_7604 ,Yersinia pestis | HOT_827 | Strain_not listed | GB_L37604 | Named | G | 0,96.7,8/245,98.3,4/241,392,1,313,243,555
3380,181,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/181,100,0/181,327,1,281,181,461
3382,179,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/179,100,0/179,324,1,281,179,459
3383,180,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/180,100,0/180,325,1,281,180,460
3490,188,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/188,100,0/188,340,1,281,188,468
3491,186,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/186,100,0/186,336,1,281,186,466
3492,185,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/185,100,0/185,334,1,281,185,465
3494,187,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/187,100,0/187,338,1,281,187,467
3518,194,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/194,100,0/194,351,1,311,194,504
3519,191,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/191,100,0/191,345,1,311,191,501
3520,193,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/193,100,0/193,349,1,311,193,503
3539,176,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/176,100,0/176,318,1,313,176,488
3540,177,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/177,100,0/177,320,1,313,177,489
3578,174,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/174,100,0/174,315,1,311,174,484
3581,178,530,530_5256 ,Propionibacterium acnes | HOT_530 | Strain_63597 | GB_AF145256 | Named | G | 4,100,0/178,100,0/178,322,1,311,178,488
3629,171,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/171,100,0/171,309,1,281,171,451
3636,170,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/170,100,0/170,307,1,281,170,450
3640,172,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/172,100,0/172,311,1,281,172,452
3687,178,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/178,100,0/178,322,1,281,178,458
3688,174,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/174,100,0/174,315,1,281,174,454
3690,175,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/175,100,0/175,316,1,281,175,455
3691,177,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/177,100,0/177,320,1,281,177,457
3692,176,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/176,100,0/176,318,1,281,176,456
